Investment_ID,Investment_Name,Investment_Category,Department,Region,Start_Date,End_Date,Initial_Investment,Additional_Investment,Total_Investment,Budgeted_Investment,Expected_Revenue,Actual_Revenue,Expected_Cost_Savings,Actual_Cost_Savings,Expected_Return,Actual_Return,Net_Benefit,ROI_Pct,Target_ROI_Pct,ROI_Variance,Payback_Years,NPV,IRR_Pct,Discount_Rate,Investment_Status,Risk_Level,Performance_Rating,Decision_Recommendation,Revenue_Achievement_Pct,Cost_Saving_Achievement_Pct,Investment_Variance,Performance_Score,ROI_Classification
INV-014,RPA Finance Rollout – North,Automation,IT,North,11-10-2025,23-02-2028,15280000,2710000,17990000,17520000,19607591.19,21320183.29,1798778.698,2036899.219,21406369.89,23357082.5,5367082.504,0.298336993,0.189903829,0.108433164,1.825306547,-476958.0226,0.093852407,0.104355757,Completed,High,Good,Review / Restructure,1.087343319,1.132378998,470000,71.29805008,Significantly Above Target
INV-015,Leadership Development – East,Training,Product,East,17-11-2024,19-10-2026,3450000,90000,3540000,3400000,3523896.223,3284921.634,471566.99,477707.4711,3995463.213,3762629.105,222629.1051,0.062889578,0.128661925,-0.065772347,1.732556029,-813710.6396,0.020681016,0.117984083,Cancelled,Medium,Watch,Review / Restructure,0.932184555,1.01302144,140000,57.20137797,Significantly Below Target
INV-016,Plant Utility Upgrade – Central,Infrastructure,Marketing,Central,21-08-2024,13-03-2025,34060000,1920000,35980000,38180000,37389897.79,36833427.27,5480928.731,5217002.029,42870826.52,42050429.3,6070429.297,0.168716768,0.191518247,-0.022801479,0.855639303,-3867024.824,0.05432533,0.097166366,On Hold,Low,Watch,Review / Restructure,0.985117089,0.951846354,-2200000,64.11283875,Below Target
INV-017,ERP Cloud Migration – South,Technology,HR,South,27-06-2025,01-12-2027,33580000,60000,33640000,35520000,32261025.29,34699057.84,6416313.525,6684370.475,38677338.81,41383428.31,7743428.313,0.230185146,0.149742533,0.080442613,1.975423776,-3396392.861,0.073280888,0.114540077,Active,High,Good,Review / Restructure,1.075572073,1.041777408,-1880000,69.57203808,Significantly Above Target
INV-018,Brand Repositioning – West,Marketing,Supply Chain,West,13-01-2026,02-11-2027,10950000,1390000,12340000,12110000,13817837.61,13091440.03,1019163.57,1169191.111,14837001.19,14260631.14,1920631.139,0.155642718,0.202350177,-0.046707459,1.559945559,-1155667.852,0.050240764,0.086874446,Completed,Medium,Watch,Review / Restructure,0.947430444,1.147206538,230000,60.56585004,Below Target
INV-019,Premium Product Line – North,Product Development,Operations,North,04-07-2024,15-10-2025,23510000,3220000,26730000,26330000,31695002.7,25030940.87,3081235.467,3142735.796,34776238.17,28173676.66,1443676.664,0.054009602,0.301019011,-0.247009409,1.216489658,-5507806.879,0.017794001,0.102540074,Cancelled,Low,Underperforming,Review / Restructure,0.789744084,1.019959633,400000,45.85242666,Significantly Below Target
INV-020,Tier-2 City Expansion – East,Expansion,Finance,East,20-11-2025,11-04-2028,47110000,8260000,55370000,59140000,57543637.25,53403555.33,4055221.716,4616808.864,61598858.96,58020364.19,2650364.189,0.047866429,0.112495195,-0.064628766,2.282524523,-13864115.46,0.015790565,0.123148289,On Hold,High,Watch,Review / Restructure,0.928053176,1.138484943,-3770000,57.12497465,Significantly Below Target
INV-021,Automated Packaging Line – Central,Equipment,Sales,Central,03-07-2025,14-12-2026,15920000,2290000,18210000,20030000,18814519.61,18995950.48,2142375.425,1835218.678,20956895.03,20831169.16,2621169.162,0.143941195,0.150845416,-0.006904221,1.266948926,-2656001.737,0.046568565,0.106004446,Active,Medium,Watch,Review / Restructure,1.009643131,0.856627954,-1820000,63.79884945,On Target
INV-022,RPA Finance Rollout – South,Automation,IT,South,02-04-2025,17-12-2025,28310000,1340000,29650000,28110000,35838058.21,32805694.68,3049278.437,3434039.551,38887336.65,36239734.23,6589734.226,0.222250733,0.311545924,-0.089295191,0.818162733,-902818.2281,0.07085631,0.082527643,Completed,Low,Watch,Review / Restructure,0.915387058,1.126181037,1540000,56.90136583,Significantly Below Target
INV-023,Leadership Development – West,Training,Product,West,15-07-2024,08-05-2025,2400000,270000,2670000,2590000,2793493.913,2111409.813,196009.4391,175832.7975,2989503.352,2287242.611,-382757.3894,-0.143354827,0.119664177,-0.263019004,0.930313589,-916664.4553,-0.049455335,0.095693934,Cancelled,High,Underperforming,Review / Restructure,0.755831185,0.897062908,80000,44.06334724,Significantly Below Target
INV-024,Plant Utility Upgrade – North,Infrastructure,Marketing,North,04-02-2026,12-06-2027,41780000,2720000,44500000,41960000,45590018.12,43886077.32,4742894.649,3797033.784,50332912.77,47683111.1,3183111.104,0.071530587,0.131076691,-0.059546105,1.26051925,-9069008.299,0.023480312,0.107926521,On Hold,Medium,Watch,Review / Restructure,0.962624696,0.800573081,2540000,57.17779557,Significantly Below Target
INV-025,ERP Cloud Migration – East,Technology,HR,East,10-06-2024,20-12-2025,20850000,2800000,23650000,25460000,26387441.15,27377066.59,1948575.311,2078688.991,28336016.46,29455755.59,5805755.586,0.245486494,0.198140231,0.047346263,1.227445766,-2695790.095,0.077938748,0.125419905,Active,Low,Good,Review / Restructure,1.037503653,1.06677375,-1810000,68.33390541,Above Target
INV-026,Brand Repositioning – Central,Marketing,Supply Chain,Central,29-12-2024,01-09-2025,17120000,2560000,19680000,18500000,19416320.85,19924503.38,3363776.603,3549057.496,22780097.45,23473560.88,3793560.876,0.19276224,0.157525277,0.035236963,0.838390055,-2785093.519,0.061788261,0.120680246,Completed,High,Watch,Review / Restructure,1.026172957,1.055081212,1180000,65.28621031,Above Target
INV-027,Premium Product Line – South,Product Development,Operations,South,16-09-2024,15-03-2025,19930000,1250000,21180000,21990000,22771408.47,20392969.37,3754469.236,4019429.453,26525877.71,24412398.83,3232398.828,0.15261562,0.252402158,-0.099786538,0.867591921,-2885389.61,0.049292294,0.104564755,Cancelled,Medium,Watch,Review / Restructure,0.895551516,1.070571951,-810000,56.28110947,Significantly Below Target
INV-028,Tier-2 City Expansion – West,Expansion,Finance,West,17-10-2025,21-09-2026,43160000,5760000,48920000,49490000,52583471.83,48212796.5,5463415.439,4978104.246,58046887.27,53190900.75,4270900.746,0.087303776,0.186567606,-0.099263829,0.919706177,-6698095.111,0.028565091,0.082273149,On Hold,Low,Watch,Review / Restructure,0.916881195,0.911170732,-570000,57.67582434,Significantly Below Target
INV-029,Automated Packaging Line – North,Equipment,Sales,North,15-05-2024,16-12-2025,22850000,3690000,26540000,29130000,25848999.61,23410761.32,4699165.137,4882840.786,30548164.75,28293602.1,1753602.104,0.06607393,0.15102354,-0.08494961,1.490554314,-5858364.398,0.021713745,0.11445757,Active,High,Watch,Review / Restructure,0.905673785,1.039086868,-2590000,56.34255824,Significantly Below Target
INV-030,RPA Finance Rollout – East,Automation,IT,East,26-05-2024,02-09-2025,24870000,360000,25230000,24620000,28066068.28,31470841.58,3805130.525,3531946.04,31871198.8,35002787.62,9772787.62,0.387347904,0.26322627,0.124121634,0.916304319,1001823.506,0.120087083,0.104552828,Completed,Medium,Good,Increase / Scale,1.121312799,0.928206277,610000,73.40304349,Significantly Above Target
INV-031,Leadership Development – Central,Training,Product,Central,19-12-2025,28-06-2027,9840000,1090000,10930000,10180000,11596053.32,10442772.78,1456221.185,1663932.357,13052274.5,12106705.14,1176705.139,0.107658293,0.194169671,-0.086511378,1.375232489,-2005310.315,0.035080163,0.111083474,Cancelled,Low,Watch,Review / Restructure,0.900545427,1.142637104,750000,55.09007516,Significantly Below Target
INV-032,Plant Utility Upgrade – South,Infrastructure,Marketing,South,04-06-2024,07-06-2026,18820000,1030000,19850000,21220000,20275713.54,18160005.8,1983636.345,1588968.969,22259349.88,19748974.77,-101025.2306,-0.005089432,0.121377828,-0.12646726,1.968390863,-4514707.248,-0.001698402,0.090704245,On Hold,High,Watch,Review / Restructure,0.895653106,0.801038443,-1370000,52.2193003,Significantly Below Target
INV-033,ERP Cloud Migration – West,Technology,HR,West,19-04-2025,26-10-2026,13470000,2340000,15810000,15640000,16675160.41,17865898.11,2828919.729,3075253.632,19504080.14,20941151.75,5131151.746,0.324551028,0.233654658,0.09089637,1.147972342,163827.24,0.101649772,0.097616729,Active,Medium,Good,Increase / Scale,1.071407871,1.087077021,170000,71.91803524,Significantly Above Target
INV-034,Brand Repositioning – North,Marketing,Supply Chain,North,17-05-2025,05-10-2027,19940000,590000,20530000,20700000,21028647.86,20197456.47,4465981.325,4195072.256,25494629.19,24392528.73,3862528.73,0.188140708,0.241823146,-0.053682438,2.008433306,-1981888.162,0.060358763,0.098844156,Completed,Low,Watch,Review / Restructure,0.960473379,0.939339408,-170000,59.661873,Significantly Below Target
INV-035,Premium Product Line – East,Product Development,Operations,East,09-12-2025,25-12-2027,17950000,780000,18730000,19710000,20663005.93,17635870.7,1882031.759,1786393.56,22545037.69,19422264.26,692264.2556,0.036960184,0.203685942,-0.166725757,1.970987553,-3649640.366,0.012221101,0.09073594,Cancelled,High,Underperforming,Review / Restructure,0.853499765,0.949183536,-980000,49.12505002,Significantly Below Target
INV-036,Tier-2 City Expansion – Central,Expansion,Finance,Central,27-10-2024,16-11-2026,30470000,3740000,34210000,34970000,37734849.37,36456320.11,3259350.32,3307336.044,40994199.69,39763656.16,5553656.156,0.162340139,0.198310426,-0.035970287,1.767808279,-2589108.41,0.052335555,0.081583226,On Hold,Medium,Watch,Review / Restructure,0.966118077,1.014722481,-760000,62.19006935,Below Target
INV-037,Automated Packaging Line – South,Equipment,Sales,South,19-09-2024,17-09-2026,11270000,600000,11870000,11780000,12982980.52,12664544.49,1130416.051,1036472.495,14113396.57,13701016.99,1831016.99,0.154255854,0.188997184,-0.03474133,1.727970918,-1942938.615,0.049806352,0.117995792,Active,Low,Watch,Review / Restructure,0.97547281,0.916894708,90000,60.7890228,Below Target
INV-038,RPA Finance Rollout – West,Automation,IT,West,16-12-2025,19-12-2027,27270000,4600000,31870000,32240000,34080915.12,30088828.27,3982712.05,3931583.132,38063627.17,34020411.4,2150411.403,0.067474471,0.194340357,-0.126865885,1.881280754,-6008388.013,0.022167536,0.098958295,Completed,High,Watch,Review / Restructure,0.882864447,0.987162286,-370000,52.64001595,Significantly Below Target
INV-039,Leadership Development – North,Training,Product,North,07-08-2024,25-11-2025,10840000,860000,11700000,11920000,10910348.99,9368237.726,2243593.923,1730147.729,13153942.91,11098385.45,-601614.5451,-0.051420047,0.124268625,-0.175688671,1.273050052,-3233925.477,-0.01734225,0.097604279,Cancelled,Medium,Underperforming,Review / Restructure,0.858656102,0.771150123,-220000,48.94147339,Significantly Below Target
INV-040,Plant Utility Upgrade – East,Infrastructure,Marketing,East,30-01-2026,27-09-2027,38460000,4470000,42930000,42740000,46830217.15,46377135.48,4414640.709,4630096.107,51244857.86,51007231.59,8077231.589,0.188148884,0.193684087,-0.005535203,1.395056014,-3718107.424,0.060361294,0.094590719,On Hold,Low,Watch,Review / Restructure,0.990325015,1.048804741,190000,65.11336193,On Target
INV-041,ERP Cloud Migration – Central,Technology,HR,Central,29-10-2024,14-06-2025,34970000,2950000,37920000,35160000,41665591.25,39870669.7,2845083.21,2709280.889,44510674.46,42579950.59,4659950.589,0.122888992,0.173804706,-0.050915714,0.890559981,-7828005.32,0.039921847,0.128101259,Active,High,Watch,Review / Restructure,0.956920771,0.952267716,2760000,57.04200797,Significantly Below Target
INV-042,Brand Repositioning – South,Marketing,Supply Chain,South,26-02-2025,23-12-2026,6510000,1040000,7550000,8020000,7996806.104,8258356.046,1136458.777,928201.9401,9133264.881,9186557.986,1636557.986,0.216762647,0.209703958,0.007058689,1.497348569,-594788.0377,0.069175515,0.100542649,Completed,Medium,Watch,Review / Restructure,1.032706801,0.816749326,-470000,64.27959992,On Target
INV-043,Premium Product Line – West,Product Development,Operations,West,27-09-2025,21-08-2026,26220000,4060000,30280000,27900000,34890365.35,28262020.18,4131830.433,3628185.759,39022195.78,31890205.93,1610205.935,0.053177211,0.288711882,-0.235534671,0.949507823,-5389777.61,0.017522836,0.088731533,Cancelled,Low,Underperforming,Review / Restructure,0.810023624,0.878106161,2380000,44.26430414,Significantly Below Target
INV-044,Tier-2 City Expansion – North,Expansion,Finance,North,25-04-2024,30-04-2026,25120000,3980000,29100000,31600000,27295551.02,24946431.41,6289130.192,4925291.601,33584681.21,29871723.01,771723.0106,0.026519691,0.154112756,-0.127593065,1.961675599,-7673639.486,0.00878863,0.122066828,On Hold,High,Underperforming,Review / Restructure,0.913937638,0.783143527,-2500000,51.02415098,Significantly Below Target
INV-045,Automated Packaging Line – East,Equipment,Sales,East,25-10-2024,20-02-2027,31270000,2580000,33850000,32910000,34777860.6,34033548.38,5538107.453,5365217.496,40315968.05,39398765.88,5548765.88,0.163922183,0.191018259,-0.027096076,1.996085053,-3247593.429,0.052829643,0.090592808,Active,Medium,Watch,Review / Restructure,0.978598102,0.968781762,940000,61.35537353,Below Target
INV-046,RPA Finance Rollout – Central,Automation,IT,Central,24-01-2026,26-06-2027,11910000,1810000,13720000,13580000,15176139.39,15890244.37,2456112,2392969.475,17632251.39,18283213.85,4563213.845,0.332595761,0.285149518,0.047446243,1.064972682,-751949.8609,0.104030458,0.12661962,Completed,Low,Watch,Review / Restructure,1.047054456,0.974291675,140000,67.49131007,Above Target
INV-047,Leadership Development – South,Training,Product,South,10-06-2025,03-01-2027,2410000,180000,2590000,2480000,2474760.783,2223516.225,376300.1811,373631.9951,2851060.964,2597148.22,7148.219728,0.00275993,0.100795739,-0.098035808,1.397952347,-741920.6865,0.000919414,0.12530488,Cancelled,High,Watch,Review / Restructure,0.898477235,0.992909421,110000,53.88615957,Significantly Below Target
INV-048,Plant Utility Upgrade – West,Infrastructure,Marketing,West,25-06-2025,28-07-2027,16510000,1940000,18450000,16980000,18401439.98,18366951.03,2603594.427,2462149.274,21005034.41,20829100.3,2379100.301,0.128948526,0.13848425,-0.009535724,1.851644173,-2596093.037,0.041840352,0.098463766,On Hold,Medium,Watch,Review / Restructure,0.998125747,0.945673124,1470000,61.16577778,On Target
INV-049,ERP Cloud Migration – North,Technology,HR,North,18-06-2024,20-06-2026,14500000,1970000,16470000,15790000,17683346.46,17592369.66,2776944.696,2585402.38,20460291.15,20177772.04,3707772.042,0.225122771,0.24227633,-0.017153559,1.636962025,-683027.2239,0.071734679,0.087798542,Active,Low,Watch,Review / Restructure,0.994855227,0.93102408,680000,62.4735477,Below Target
INV-050,Brand Repositioning – East,Marketing,Supply Chain,East,28-06-2024,12-04-2025,11380000,740000,12120000,12540000,13682910.99,12313680.85,538843.766,428524.7566,14221754.76,12742205.6,622205.6032,0.051337096,0.173412109,-0.122075013,0.951169709,-2772240.993,0.016923059,0.113015662,Completed,High,Watch,Review / Restructure,0.899931371,0.79526717,-420000,52.77285619,Significantly Below Target
INV-051,Premium Product Line – Central,Product Development,Operations,Central,14-07-2024,04-09-2026,21310000,2250000,23560000,22910000,28967702.05,25973075.06,1055599.774,911194.6624,30023301.82,26884269.72,3324269.72,0.141098036,0.274333694,-0.133235658,1.877547491,-2343720.78,0.045673939,0.084494789,Cancelled,Medium,Underperforming,Review / Restructure,0.896621866,0.863200888,650000,51.54206086,Significantly Below Target
INV-052,Tier-2 City Expansion – South,Expansion,Finance,South,17-02-2026,09-11-2026,45240000,2000000,47240000,47560000,51332430.5,50393556.32,6392297.324,5981874.498,57724727.83,56375430.81,9135430.813,0.193383379,0.221945974,-0.028562596,0.837953685,-6828935.166,0.061980213,0.12232582,On Hold,Low,Watch,Review / Restructure,0.981709921,0.935794159,-320000,62.39767146,Below Target
INV-053,Automated Packaging Line – West,Equipment,Sales,West,28-12-2024,30-12-2026,26170000,3890000,30060000,29880000,27143638.55,31239025.25,6087482.693,4856777.954,33231121.24,36095803.21,6035803.209,0.200791857,0.105493055,0.095298801,1.67013079,-1932943.106,0.0642665,0.089355236,Active,High,Good,Review / Restructure,1.150878324,0.797830269,180000,70.97296788,Significantly Above Target
INV-054,RPA Finance Rollout – North,Automation,IT,North,22-06-2025,01-07-2026,29720000,1850000,31570000,29580000,37086992.24,36090085,2837652.626,2890359.084,39924644.87,38980444.08,7410444.079,0.234730569,0.264638735,-0.029908166,0.829863259,-2654027.722,0.074666997,0.10859084,Completed,Medium,Watch,Review / Restructure,0.97311976,1.018573964,1990000,60.37593507,Below Target
INV-055,Leadership Development – East,Training,Product,East,03-03-2025,17-03-2026,7480000,400000,7880000,8650000,8449310.583,7052409.359,635623.0516,697769.9522,9084933.635,7750179.312,-129820.6884,-0.016474707,0.15291036,-0.169385066,1.011693767,-2338855.345,-0.005511879,0.12337386,Cancelled,Low,Underperforming,Review / Restructure,0.834672757,1.097773201,-770000,50.36589851,Significantly Below Target
INV-056,Plant Utility Upgrade – Central,Infrastructure,Marketing,Central,31-08-2025,27-08-2026,51650000,7690000,59340000,58430000,60673591.69,54409821.95,5990569.572,4747240.335,66664161.26,59157062.28,-182937.7159,-0.003082874,0.123427052,-0.126509925,0.996640914,-16698536.31,-0.00102833,0.120076963,On Hold,High,Underperforming,Review / Restructure,0.896762833,0.79245225,910000,51.86905249,Significantly Below Target
INV-057,ERP Cloud Migration – South,Technology,HR,South,30-06-2025,18-12-2026,13130000,820000,13950000,13070000,16124362.52,15642963.42,836118.7734,832361.8918,16960481.29,16475325.31,2525325.31,0.181026904,0.215805111,-0.034778207,1.24340364,-1725846.056,0.058153869,0.108505178,Active,Medium,Watch,Review / Restructure,0.970144612,0.995506761,880000,59.70651561,Below Target
INV-058,Brand Repositioning – West,Marketing,Supply Chain,West,17-06-2025,30-11-2026,5200000,730000,5930000,5830000,6691160.294,6148051.978,770886.1586,655660.6789,7462046.452,6803712.657,873712.6566,0.147337716,0.25835522,-0.111017503,1.267974111,-971613.3491,0.047636086,0.115658826,Completed,Low,Watch,Review / Restructure,0.918831968,0.85052854,100000,53.84837893,Significantly Below Target
INV-059,Premium Product Line – North,Product Development,Operations,North,06-07-2025,16-10-2027,20700000,3380000,24080000,22700000,27407505.68,21239641.37,1770512.291,1668680.328,29178017.97,22908321.7,-1171678.302,-0.048657737,0.21171171,-0.260369446,2.237098575,-7197723.303,-0.016400018,0.111202144,Cancelled,High,Underperforming,Review / Restructure,0.774957109,0.942484464,1380000,41.30671067,Significantly Below Target
INV-060,Tier-2 City Expansion – East,Expansion,Finance,East,19-12-2025,09-11-2026,37370000,4080000,41450000,42120000,38702527.2,35532334.19,8908491.975,10226031.32,47611019.18,45758365.51,4308365.511,0.103941267,0.148637375,-0.044696108,0.905845293,-8359882.255,0.033894264,0.118774708,On Hold,Medium,Watch,Review / Restructure,0.918088217,1.147897012,-670000,60.7433474,Below Target
INV-061,Automated Packaging Line – Central,Equipment,Sales,Central,25-11-2025,07-09-2026,39190000,4600000,43790000,44050000,50541039.99,48682540.58,3139493.229,3475014.24,53680533.22,52157554.82,8367554.823,0.191083691,0.225862828,-0.034779137,0.839571566,-4511725.851,0.06126933,0.102641032,Active,Low,Watch,Review / Restructure,0.963227915,1.106871073,-260000,62.83981482,Below Target
INV-062,RPA Finance Rollout – South,Automation,IT,South,16-05-2025,09-06-2026,11510000,1960000,13470000,13220000,14919546.8,14103170.19,1684851.272,1619125.769,16604398.07,15722295.96,2252295.962,0.167208312,0.232694734,-0.065486422,0.913079023,-1118003.883,0.053855039,0.086212575,Completed,High,Watch,Review / Restructure,0.945281407,0.960990323,250000,58.92188491,Significantly Below Target
INV-063,Leadership Development – West,Training,Product,West,23-06-2024,11-01-2025,7400000,550000,7950000,8680000,7627904.794,6430466.164,1396071.115,1261477.525,9023975.909,7691943.689,-258056.3108,-0.032459913,0.135091309,-0.167551223,0.975460123,-2222886.164,-0.010899603,0.107123176,Cancelled,Medium,Underperforming,Review / Restructure,0.843018671,0.903591165,-730000,50.17719723,Significantly Below Target
INV-064,Plant Utility Upgrade – North,Infrastructure,Marketing,North,08-06-2025,20-01-2026,36710000,2450000,39160000,37890000,41571030.51,41354695.62,4440363.095,3393564.448,46011393.61,44748260.06,5588260.065,0.14270327,0.174958979,-0.032255708,0.875117825,-4880558.102,0.046179156,0.095958302,On Hold,Low,Watch,Review / Restructure,0.994796018,0.764253818,1270000,61.47291044,Below Target
INV-065,ERP Cloud Migration – East,Technology,HR,East,15-09-2024,07-08-2026,32990000,2310000,35300000,34870000,35172303.15,37365719.09,4870138.927,3963520.657,40042442.08,41329239.75,6029239.746,0.170799993,0.134346801,0.036453192,1.616971897,-4622885.169,0.054974402,0.108347861,Active,High,Watch,Review / Restructure,1.062362022,0.813841395,430000,65.4773288,Above Target
INV-066,Brand Repositioning – Central,Marketing,Supply Chain,Central,06-08-2025,13-05-2026,12350000,2210000,14560000,14390000,16863619.51,16334094.42,1026331.308,1121020.621,17889950.81,17455115.04,2895115.044,0.198840319,0.228705413,-0.029865094,0.834139446,-2280548.299,0.063664813,0.129976087,Completed,Medium,Watch,Review / Restructure,0.968599559,1.092259988,170000,61.34977905,Below Target
INV-067,Premium Product Line – South,Product Development,Operations,South,15-06-2024,11-07-2025,40100000,4630000,44730000,44500000,46408097.72,38959914.44,8977326.783,9199046.883,55385424.5,48158961.32,3428961.321,0.076659095,0.23821651,-0.161557415,0.994960133,-7742998.727,0.025137101,0.094960893,Cancelled,Low,Underperforming,Review / Restructure,0.839506818,1.024697786,230000,51.47037673,Significantly Below Target
INV-068,Tier-2 City Expansion – West,Expansion,Finance,West,12-05-2025,01-05-2027,39670000,830000,40500000,40250000,41939562.14,43814187.64,4330445.489,4294069.686,46270007.62,48108257.32,7608257.325,0.187858206,0.142469324,0.045388881,1.658331781,-4743257.01,0.060271307,0.107817402,On Hold,High,Watch,Review / Restructure,1.044698261,0.991599986,250000,67.34219416,Above Target
INV-069,Automated Packaging Line – North,Equipment,Sales,North,10-11-2024,23-12-2025,21780000,1490000,23270000,22830000,25756364.73,26814834.28,2258516.498,2216799.998,28014881.22,29031634.28,5761634.276,0.247599238,0.20390551,0.043693728,0.895967379,-501816.4488,0.078580058,0.086887171,Active,Medium,Good,Review / Restructure,1.041095456,0.981529247,440000,68.86702672,Above Target
